epoch,timestamp,train_loss_epoch,train_accuracy_epoch
0,2026-03-23T19:24:23.499159,1.004093129456215,0.45803314121037464
1,2026-03-23T19:27:31.072646,0.9813095674734638,0.5005403458213257
2,2026-03-23T19:30:38.276130,0.9500909875380547,0.5551152737752162
3,2026-03-23T19:33:45.820259,0.9036103526522172,0.5921289625360231
4,2026-03-23T19:36:53.374192,0.8555124000101337,0.6162644092219021
5,2026-03-23T19:40:40.028238,0.8157558600909428,0.6264409221902018
6,2026-03-23T19:43:06.159059,0.7802230878934393,0.6336455331412104
7,2026-03-23T19:46:10.033791,0.7406302608055753,0.6469740634005764
8,2026-03-23T19:49:14.252657,0.7122330420814261,0.6548991354466859
9,2026-03-23T19:52:18.876133,0.7283180817231665,0.6496757925072046
10,2026-03-23T19:55:23.351633,0.7079290412688461,0.6657961095100865
11,2026-03-23T19:58:27.399878,0.6661040773481045,0.6875900576368876
12,2026-03-23T20:01:31.344238,0.6378531242997227,0.7102845821325648
13,2026-03-23T20:04:35.706695,0.6153858056673055,0.7192903458213257
14,2026-03-23T20:07:40.331354,0.600981794190338,0.7264949567723343
15,2026-03-23T20:11:24.156530,0.5878690658110363,0.733249279538905
16,2026-03-23T20:13:49.148030,0.5726177165934263,0.740363832853026
17,2026-03-23T20:16:53.697875,0.553478081992449,0.7536023054755043
18,2026-03-23T20:19:57.786144,0.5451718428808262,0.7572046109510087
19,2026-03-23T20:23:01.869025,0.5349448521645681,0.7617975504322767
20,2026-03-23T20:26:06.413043,0.5209064789395511,0.7686419308357348
20,2026-03-23T20:26:17.659951,0.5271563862645349,0.7736191860465116,0.710770972275231,0.8045931004572107,0.710770972275231,0.7346686876474379
21,2026-03-23T20:29:34.335880,0.5107982329573343,0.7732348703170029
22,2026-03-23T20:32:38.661367,0.5004210347572733,0.7759365994236311
23,2026-03-23T20:35:42.925269,0.4865184831473257,0.7877341498559077
24,2026-03-23T20:38:47.398102,0.48479880849892537,0.7878242074927954
25,2026-03-23T20:41:51.485856,0.4795013868413672,0.7900756484149856
26,2026-03-23T20:44:55.967695,0.46800413321950596,0.7942182997118156
27,2026-03-23T20:48:00.439760,0.46549603989299504,0.7959293948126801
28,2026-03-23T20:51:04.753855,0.4539195805229783,0.8047550432276657
29,2026-03-23T20:54:09.025676,0.4471476723678861,0.8070064841498559
30,2026-03-23T20:57:14.602836,0.4473780384367756,0.8081772334293948
31,2026-03-23T21:00:19.206046,0.43645534874812325,0.8118695965417867
32,2026-03-23T21:03:23.114255,0.43542627784120247,0.8114193083573487
33,2026-03-23T21:06:27.502539,0.43443762626960575,0.8125
34,2026-03-23T21:09:32.591668,0.42501091772438127,0.8177233429394812
35,2026-03-23T21:12:37.600408,0.41308160569593955,0.8214157060518732
36,2026-03-23T21:15:42.229049,0.4109105581809533,0.8244776657060519
37,2026-03-23T21:18:46.751034,0.40589134811667954,0.827449567723343
38,2026-03-23T21:21:51.767297,0.39741145794733457,0.8303314121037464
39,2026-03-23T21:25:36.078515,0.39201257031099596,0.8336635446685879
40,2026-03-23T21:28:00.465563,0.3860448912129622,0.8348342939481268
40,2026-03-23T21:28:19.659881,0.4220396529796512,0.8219476744186046,0.7886165433951359,0.8315884091220166,0.7886165433951359,0.8049803586115769
41,2026-03-23T21:31:29.911408,0.38317958707317323,0.8395172910662824
42,2026-03-23T21:34:35.155932,0.390212846195234,0.8322226224783862
43,2026-03-23T21:37:40.217216,0.3936742524527851,0.8344740634005764
