epoch,accuracy,loss,lr,top1,val_accuracy,val_loss,val_top1
0,0.4513186514377594,2.8221805095672607,0.01,0.4513186514377594,0.38481104373931885,2.8277363777160645,0.38481104373931885
1,0.4608537554740906,2.8065056800842285,0.01,0.4608537554740906,0.45530521869659424,2.8046658039093018,0.45530521869659424
2,0.46930062770843506,2.79189395904541,0.01,0.46930062770843506,0.4920058250427246,2.7787768840789795,0.4920058250427246
3,0.46975475549697876,2.7783920764923096,0.01,0.46975475549697876,0.49963662028312683,2.766054153442383,0.49963662028312683
4,0.4891008138656616,2.7552809715270996,0.01,0.4891008138656616,0.5076308250427246,2.7406938076019287,0.5076308250427246
5,0.4958219826221466,2.7403581142425537,0.01,0.4958219826221466,0.5501453280448914,2.7206201553344727,0.5501453280448914
6,0.509627640247345,2.718035936355591,0.01,0.509627640247345,0.5392441749572754,2.7000935077667236,0.5392441749572754
7,0.5020890235900879,2.7109835147857666,0.01,0.5020890235900879,0.5297965407371521,2.6876089572906494,0.5297965407371521
8,0.5202543139457703,2.682591199874878,0.01,0.5202543139457703,0.5450581312179565,2.6515769958496094,0.5450581312179565
9,0.5114441514015198,2.6719183921813965,0.01,0.5114441514015198,0.463299423456192,2.7165727615356445,0.463299423456192
10,0.527974545955658,2.6465704441070557,0.01,0.527974545955658,0.5770348906517029,2.6021196842193604,0.5770348906517029
11,0.5340599417686462,2.628109931945801,0.01,0.5340599417686462,0.5770348906517029,2.590726613998413,0.5770348906517029
12,0.5434150695800781,2.600583791732788,0.01,0.5434150695800781,0.6104651093482971,2.537548065185547,0.6104651093482971
13,0.5576748251914978,2.5733299255371094,0.01,0.5576748251914978,0.5886628031730652,2.5188910961151123,0.5886628031730652
14,0.5710263252258301,2.5434792041778564,0.01,0.5710263252258301,0.6402616500854492,2.4594078063964844,0.6402616500854492
15,0.5764759182929993,2.527459144592285,0.01,0.5764759182929993,0.6507993936538696,2.438131093978882,0.6507993936538696
16,0.5901907086372375,2.4934873580932617,0.01,0.5901907086372375,0.6420784592628479,2.413729429244995,0.6420784592628479
17,0.5935513377189636,2.474303960800171,0.01,0.5935513377189636,0.6199128031730652,2.4216113090515137,0.6199128031730652
18,0.5998183488845825,2.4511075019836426,0.01,0.5998183488845825,0.6380813717842102,2.4124538898468018,0.6380813717842102
