epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5716091990470886,0.9040436148643494,0.01,0.4286230504512787,1.7095017433166504
1,0.6356329917907715,0.7897868752479553,0.01,0.614022433757782,1.180285930633545
2,0.665793776512146,0.7247310876846313,0.01,0.559812068939209,1.0350722074508667
3,0.700650155544281,0.65880286693573,0.01,0.5504156351089478,1.4992722272872925
4,0.7238577008247375,0.6231595873832703,0.01,0.42898446321487427,1.513599157333374
5,0.7459815740585327,0.5752446055412292,0.01,0.6508854627609253,0.8334356546401978
6,0.7660285234451294,0.5353862643241882,0.01,0.6783519983291626,0.6753278970718384
7,0.7833664417266846,0.5038768649101257,0.01,0.5410191416740417,2.0001742839813232
8,0.7970922589302063,0.474405974149704,0.01,0.7903866767883301,0.4989885091781616
9,0.8081091046333313,0.45797884464263916,0.01,0.7199132442474365,0.6633313894271851
10,0.8215640187263489,0.42942434549331665,0.01,0.5543910264968872,1.3382476568222046
11,0.8248148560523987,0.4156264662742615,0.01,0.8290567398071289,0.41281479597091675
12,0.8371862173080444,0.3963344693183899,0.01,0.7105168104171753,0.6984177827835083
13,0.8437781929969788,0.3822154998779297,0.01,0.6248644590377808,1.2966508865356445
14,0.8537113666534424,0.3669527471065521,0.01,0.7650885581970215,0.6521152853965759
15,0.8473902940750122,0.36794474720954895,0.01,0.7762920260429382,0.6284100413322449
16,0.8580458760261536,0.34258776903152466,0.01,0.8478496670722961,0.38899654150009155
17,0.8632833957672119,0.34017014503479004,0.01,0.5641489028930664,1.8977246284484863
18,0.8698753714561462,0.32017192244529724,0.01,0.8196603059768677,0.4674685597419739
19,0.8787249326705933,0.3086136281490326,0.01,0.6834116578102112,0.7907502055168152
20,0.8770995140075684,0.30655577778816223,0.01,0.7831586599349976,0.5806810855865479
21,0.8826982378959656,0.2901188135147095,0.01,0.817130446434021,0.42546510696411133
22,0.8845945596694946,0.2841644287109375,0.01,0.8124322295188904,0.5250086188316345
23,0.8920896053314209,0.27633851766586304,0.01,0.7940007448196411,0.5231842994689941
24,0.8977785706520081,0.25766563415527344,0.01,0.8417057991027832,0.4154040813446045
25,0.8967852592468262,0.2573208808898926,0.01,0.7473798394203186,0.7067675590515137
26,0.8975979685783386,0.2590514123439789,0.01,0.7477412223815918,0.697915256023407
27,0.9043706059455872,0.24389390647411346,0.01,0.8243585228919983,0.43744027614593506
28,0.8989524841308594,0.25543904304504395,0.01,0.8286953568458557,0.41789305210113525
29,0.9084341526031494,0.23713131248950958,0.01,0.7896639108657837,0.580836296081543
30,0.9107820391654968,0.2214236706495285,0.01,0.8876038789749146,0.31151294708251953
31,0.9122268557548523,0.22361737489700317,0.01,0.7990603446960449,0.4848482310771942
32,0.9151164889335632,0.21851763129234314,0.01,0.8518250584602356,0.38917648792266846
33,0.9221600294113159,0.205625981092453,0.01,0.8048427700996399,0.5393908023834229
34,0.9267653822898865,0.20046256482601166,0.01,0.8886880874633789,0.3191903531551361
35,0.919902503490448,0.20094521343708038,0.01,0.8670039772987366,0.3700002431869507
36,0.9245981574058533,0.19911885261535645,0.01,0.7867726683616638,0.5442894101142883
37,0.9248690605163574,0.19032137095928192,0.01,0.7795446515083313,0.568090558052063
38,0.9243272542953491,0.19236910343170166,0.01,0.8966389298439026,0.32478341460227966
39,0.9296550750732422,0.17928676307201385,0.01,0.7911095023155212,0.6161261200904846
40,0.9313707947731018,0.17697976529598236,0.01,0.8333935737609863,0.502700686454773
41,0.934802234172821,0.16944433748722076,0.01,0.8543549180030823,0.44707807898521423
42,0.9401300549507141,0.1548844277858734,0.01,0.8630285263061523,0.3788568079471588
43,0.9421166777610779,0.15333512425422668,0.01,0.8698952198028564,0.4005082845687866
44,0.9437420964241028,0.1498248428106308,0.01,0.79327791929245,0.6522268652915955
45,0.9425681829452515,0.15168116986751556,0.01,0.8435128331184387,0.43912243843078613
46,0.968665361404419,0.09190497547388077,0.0009999999,0.9139862656593323,0.2640331983566284
47,0.9758894443511963,0.07211554050445557,0.0009999999,0.916154682636261,0.2660358250141144
48,0.9779664278030396,0.0637906938791275,0.0009999999,0.9201301336288452,0.27248406410217285
49,0.9809463620185852,0.057295795530080795,0.0009999999,0.9165160655975342,0.27730193734169006
50,0.9822105765342712,0.0526408888399601,0.0009999999,0.9179617166519165,0.284176230430603
51,0.9823911786079407,0.05178485065698624,0.0009999999,0.9186844825744629,0.28834664821624756
52,0.9826620817184448,0.052607882767915726,0.0009999999,0.9172388911247253,0.28528931736946106
53,0.9857323169708252,0.044879842549562454,0.0009999999,0.9176002740859985,0.28631892800331116
54,0.9847390055656433,0.04365771636366844,0.0009999999,0.9190459251403809,0.28310418128967285
55,0.9877189993858337,0.04150133952498436,0.0009999999,0.9237441420555115,0.2962315082550049
56,0.9871771931648254,0.04165656119585037,0.0009999999,0.9226599335670471,0.29382023215293884
57,0.987628698348999,0.03751183673739433,0.0009999999,0.9212142825126648,0.29864487051963806
58,0.9885317087173462,0.0361892469227314,0.0009999999,0.9201301336288452,0.3010777235031128
59,0.9875383973121643,0.04149605706334114,0.0009999999,0.919407308101654,0.30475300550460815
60,0.988260805606842,0.037183020263910294,0.0009999999,0.9204915165901184,0.30486926436424255
61,0.9888026118278503,0.037796489894390106,0.0009999999,0.9165160655975342,0.30743446946144104
62,0.9896153211593628,0.033674489706754684,9.999999e-05,0.9183230996131897,0.30445221066474915
63,0.9895250201225281,0.03406796604394913,9.999999e-05,0.9176002740859985,0.30166348814964294
64,0.9903377294540405,0.03318031132221222,9.999999e-05,0.9186844825744629,0.30094197392463684
65,0.9910601377487183,0.030850166454911232,9.999999e-05,0.9186844825744629,0.30197325348854065
66,0.991150438785553,0.030624117702245712,9.999999e-05,0.919407308101654,0.30063220858573914
67,0.9909698367118835,0.030782293528318405,9.999999e-05,0.9208528995513916,0.2994701564311981
68,0.9916922450065613,0.02722475863993168,9.999999e-05,0.9190459251403809,0.29920873045921326
69,0.9904280304908752,0.032302744686603546,9.999999e-05,0.9208528995513916,0.30155888199806213
70,0.9907892346382141,0.030941801145672798,9.999999e-05,0.9176002740859985,0.2990418076515198
71,0.9910601377487183,0.03057153709232807,9.999999e-05,0.9212142825126648,0.2996225357055664
72,0.9925952553749084,0.02857624553143978,9.999999e-05,0.9208528995513916,0.30032584071159363
73,0.9925952553749084,0.025097794830799103,9.999999e-05,0.919407308101654,0.3016600012779236
74,0.9912407398223877,0.029815979301929474,9.999999e-05,0.9204915165901184,0.30167314410209656
75,0.9906989336013794,0.0315421037375927,9.999999e-05,0.9197686910629272,0.3008865714073181
76,0.9921437501907349,0.028250273317098618,9.999999e-05,0.9208528995513916,0.3012838661670685
77,0.9918728470802307,0.027681341394782066,1e-05,0.9222984910011292,0.30127784609794617
78,0.993046760559082,0.027151085436344147,1e-05,0.9212142825126648,0.30043891072273254
79,0.9929564595222473,0.024315571412444115,1e-05,0.9208528995513916,0.29859137535095215
80,0.991150438785553,0.028341008350253105,1e-05,0.9215757250785828,0.3008858859539032
81,0.9927758574485779,0.027126168832182884,1e-05,0.9222984910011292,0.3003353178501129
82,0.9927758574485779,0.028042402118444443,1e-05,0.9212142825126648,0.3022570312023163
83,0.9927758574485779,0.02563040517270565,1e-05,0.9204915165901184,0.3013269007205963
84,0.9908795356750488,0.0287882499396801,1e-05,0.9212142825126648,0.3006678819656372
85,0.991782546043396,0.028198160231113434,1e-05,0.9222984910011292,0.30139410495758057
86,0.991150438785553,0.03006584383547306,1e-05,0.9208528995513916,0.30363407731056213
87,0.991150438785553,0.028557710349559784,1e-05,0.9201301336288452,0.3019872307777405
88,0.9934982657432556,0.02402508072555065,1e-05,0.9179617166519165,0.30109861493110657
89,0.9915116429328918,0.028347209095954895,1e-05,0.9201301336288452,0.30259081721305847
90,0.992414653301239,0.02791779674589634,1e-05,0.9215757250785828,0.3020913898944855
91,0.9923243522644043,0.02678193338215351,1e-05,0.9197686910629272,0.30207082629203796
92,0.9915116429328918,0.02780807763338089,1e-05,0.9208528995513916,0.30230072140693665
93,0.99051833152771,0.030862657353281975,1e-05,0.921937108039856,0.3004913032054901
94,0.9915116429328918,0.02927161194384098,1e-05,0.9212142825126648,0.30101752281188965
95,0.9925049543380737,0.0279274582862854,1e-05,0.9204915165901184,0.30250224471092224
96,0.991782546043396,0.02777024172246456,1e-05,0.9204915165901184,0.3029252886772156
97,0.993678867816925,0.024341408163309097,1e-05,0.9201301336288452,0.3014756441116333
98,0.9923243522644043,0.027845066040754318,1e-05,0.9208528995513916,0.3017849326133728
99,0.9920534491539001,0.02732967585325241,1e-05,0.9208528995513916,0.30235281586647034
100,0.9925049543380737,0.025970345363020897,1e-05,0.9208528995513916,0.30364248156547546
101,0.9916019439697266,0.029356705024838448,1e-05,0.9197686910629272,0.30245843529701233
102,0.9920534491539001,0.025628091767430305,1e-05,0.9204915165901184,0.30154281854629517
103,0.9908795356750488,0.030700601637363434,1e-05,0.9201301336288452,0.3021487891674042
104,0.9922340512275696,0.02779613435268402,1e-05,0.9204915165901184,0.30074647068977356
105,0.9920534491539001,0.02754480205476284,1e-05,0.9201301336288452,0.30075982213020325
106,0.9916019439697266,0.029550347477197647,1e-05,0.9212142825126648,0.3014638423919678
107,0.9916922450065613,0.027614478021860123,1e-05,0.9208528995513916,0.30150941014289856
108,0.9922340512275696,0.028238318860530853,1e-05,0.9208528995513916,0.3014909029006958
109,0.992414653301239,0.027986740693449974,1e-05,0.9186844825744629,0.3012252449989319
110,0.9934079647064209,0.025698360055685043,1e-05,0.9201301336288452,0.3017536997795105
111,0.9920534491539001,0.027833376079797745,1e-05,0.9190459251403809,0.30017831921577454
112,0.9916019439697266,0.027719490230083466,1e-05,0.9190459251403809,0.30198684334754944
113,0.9929564595222473,0.025827722623944283,1e-05,0.9201301336288452,0.3017541468143463
114,0.9928661584854126,0.025985196232795715,1e-05,0.9201301336288452,0.3022315204143524
115,0.9926855564117432,0.025435712188482285,1e-05,0.919407308101654,0.3014638125896454
116,0.9912407398223877,0.0281519815325737,1e-05,0.9226599335670471,0.30153048038482666
117,0.9923243522644043,0.0291416198015213,1e-05,0.9204915165901184,0.30142009258270264
118,0.9921437501907349,0.025570087134838104,1e-05,0.9183230996131897,0.3038136065006256
119,0.9915116429328918,0.02649400569498539,1e-05,0.9197686910629272,0.3021889626979828
120,0.9921437501907349,0.027245743200182915,1e-05,0.9197686910629272,0.302573561668396
121,0.9912407398223877,0.02867724746465683,1e-05,0.9197686910629272,0.30202680826187134
122,0.9925049543380737,0.026239054277539253,1e-05,0.9204915165901184,0.3023824691772461
123,0.993046760559082,0.02591681480407715,1e-05,0.9197686910629272,0.30217522382736206
124,0.9934982657432556,0.02506568282842636,1e-05,0.9186844825744629,0.30033326148986816
125,0.9939497709274292,0.023913130164146423,1e-05,0.9197686910629272,0.30178266763687134
126,0.992414653301239,0.026495609432458878,1e-05,0.919407308101654,0.3032510578632355
127,0.9944012761116028,0.02422896772623062,1e-05,0.9215757250785828,0.3024768829345703
128,0.9919631481170654,0.02718924917280674,1e-05,0.9215757250785828,0.30312320590019226
129,0.9913310408592224,0.026622707024216652,1e-05,0.9204915165901184,0.3011928200721741
130,0.9925049543380737,0.02698272466659546,1e-05,0.9208528995513916,0.3027249872684479
131,0.9915116429328918,0.027964342385530472,1e-05,0.9197686910629272,0.3029753267765045
132,0.991782546043396,0.02676028199493885,1e-05,0.9212142825126648,0.30225008726119995
133,0.9919631481170654,0.027250370010733604,1e-05,0.9183230996131897,0.30300113558769226
134,0.9934079647064209,0.024995503947138786,1e-05,0.9201301336288452,0.3021358549594879
