epoch,accuracy,loss,lr,top1,val_accuracy,val_loss,val_top1
0,0.44273844361305237,1.8109349012374878,0.01,0.44273844361305237,0.45530521869659424,1.805349349975586,0.45530521869659424
1,0.4551711678504944,1.796252727508545,0.01,0.4551711678504944,0.45530521869659424,1.7912310361862183,0.45530521869659424
2,0.45290708541870117,1.7830398082733154,0.01,0.45290708541870117,0.45530521869659424,1.7751429080963135,0.45530521869659424
3,0.4522731304168701,1.7734733819961548,0.01,0.4522731304168701,0.45530521869659424,1.769421100616455,0.45530521869659424
4,0.4510052502155304,1.7634716033935547,0.01,0.4510052502155304,0.45530521869659424,1.7614476680755615,0.45530521869659424
5,0.45245426893234253,1.7544496059417725,0.01,0.45245426893234253,0.45530521869659424,1.7479273080825806,0.45530521869659424
6,0.45245426893234253,1.742693543434143,0.01,0.45245426893234253,0.45530521869659424,1.7379640340805054,0.45530521869659424
7,0.45381271839141846,1.7323219776153564,0.01,0.45381271839141846,0.45530521869659424,1.7283896207809448,0.45530521869659424
8,0.44964680075645447,1.7253087759017944,0.01,0.44964680075645447,0.45530521869659424,1.715339183807373,0.45530521869659424
9,0.4509146809577942,1.7097065448760986,0.01,0.4509146809577942,0.45530521869659424,1.7019325494766235,0.45530521869659424
10,0.44810721278190613,1.7012965679168701,0.01,0.44810721278190613,0.45530521869659424,1.6967341899871826,0.45530521869659424
11,0.45046186447143555,1.6943823099136353,0.01,0.45046186447143555,0.45530521869659424,1.6834138631820679,0.45530521869659424
12,0.4521825611591339,1.6840065717697144,0.01,0.4521825611591339,0.45530521869659424,1.6687579154968262,0.45530521869659424
13,0.45263537764549255,1.676322102546692,0.01,0.45263537764549255,0.45530521869659424,1.6721692085266113,0.45530521869659424
14,0.4530881941318512,1.6668440103530884,0.01,0.4530881941318512,0.45530521869659424,1.6637332439422607,0.45530521869659424
15,0.4521825611591339,1.660050868988037,0.01,0.4521825611591339,0.45530521869659424,1.6542021036148071,0.45530521869659424
16,0.45462778210639954,1.6485373973846436,0.01,0.45462778210639954,0.45530521869659424,1.6467996835708618,0.45530521869659424
17,0.4531787633895874,1.641631841659546,0.01,0.4531787633895874,0.45530521869659424,1.637349009513855,0.45530521869659424
18,0.45281651616096497,1.6323438882827759,0.01,0.45281651616096497,0.45530521869659424,1.6242159605026245,0.45530521869659424
19,0.4521825611591339,1.6239162683486938,0.01,0.4521825611591339,0.45530521869659424,1.620032787322998,0.45530521869659424
20,0.4497373700141907,1.6153712272644043,0.01,0.4497373700141907,0.45094478130340576,1.6123061180114746,0.45094478130340576
21,0.457163542509079,1.6054552793502808,0.01,0.457163542509079,0.45530521869659424,1.604446530342102,0.45530521869659424
22,0.45272594690322876,1.60025954246521,0.01,0.45272594690322876,0.45530521869659424,1.5954865217208862,0.45530521869659424
23,0.44747328758239746,1.5927610397338867,0.01,0.44747328758239746,0.45530521869659424,1.587559700012207,0.45530521869659424
24,0.450824111700058,1.584472894668579,0.01,0.450824111700058,0.45530521869659424,1.5797901153564453,0.45530521869659424
25,0.455623984336853,1.5758874416351318,0.01,0.455623984336853,0.45530521869659424,1.571948766708374,0.45530521869659424
26,0.45462778210639954,1.5675901174545288,0.01,0.45462778210639954,0.45530521869659424,1.564500331878662,0.45530521869659424
27,0.4512769281864166,1.5602971315383911,0.01,0.4512769281864166,0.45530521869659424,1.5571390390396118,0.45530521869659424
28,0.4476543962955475,1.5555810928344727,0.01,0.4476543962955475,0.45530521869659424,1.550341010093689,0.45530521869659424
29,0.45453721284866333,1.544509768486023,0.01,0.45453721284866333,0.45530521869659424,1.5411452054977417,0.45530521869659424
30,0.4550805985927582,1.5374315977096558,0.001,0.4550805985927582,0.45530521869659424,1.538534164428711,0.45530521869659424
31,0.4521825611591339,1.5364962816238403,0.001,0.4521825611591339,0.45530521869659424,1.5359715223312378,0.45530521869659424
32,0.4533599019050598,1.5322319269180298,0.001,0.4533599019050598,0.45530521869659424,1.5321855545043945,0.45530521869659424
33,0.476634681224823,1.5305925607681274,0.001,0.476634681224823,0.48473837971687317,1.5275788307189941,0.48473837971687317
34,0.4861438274383545,1.5241613388061523,0.001,0.4861438274383545,0.49164244532585144,1.520999789237976,0.49164244532585144
35,0.4827929735183716,1.5209681987762451,0.001,0.4827929735183716,0.48110464215278625,1.5150868892669678,0.48110464215278625
36,0.49094367027282715,1.514410138130188,0.001,0.49094367027282715,0.49927327036857605,1.5131182670593262,0.49927327036857605
37,0.49619632959365845,1.5115020275115967,0.001,0.49619632959365845,0.5025436282157898,1.5035114288330078,0.5025436282157898
38,0.4957435131072998,1.5100741386413574,0.001,0.4957435131072998,0.5243459343910217,1.49169921875,0.5243459343910217
39,0.4977359175682068,1.5023744106292725,0.001,0.4977359175682068,0.5029069781303406,1.4874049425125122,0.5029069781303406
40,0.4969208538532257,1.5053343772888184,0.001,0.4969208538532257,0.5243459343910217,1.4785292148590088,0.5243459343910217
41,0.4880456328392029,1.5088516473770142,0.001,0.4880456328392029,0.5279796719551086,1.5041769742965698,0.5279796719551086
42,0.49293607473373413,1.5039421319961548,0.001,0.49293607473373413,0.522892415523529,1.473275899887085,0.522892415523529
43,0.5066111087799072,1.4938104152679443,0.001,0.5066111087799072,0.5043604373931885,1.5012980699539185,0.5043604373931885
44,0.49402281641960144,1.496972680091858,0.001,0.49402281641960144,0.5174418687820435,1.4882615804672241,0.5174418687820435
45,0.500633955001831,1.492972493171692,0.001,0.500633955001831,0.523982584476471,1.4705414772033691,0.523982584476471
46,0.5110487341880798,1.4848387241363525,0.001,0.5110487341880798,0.5236191749572754,1.471756935119629,0.5236191749572754
47,0.5047093033790588,1.4845348596572876,0.001,0.5047093033790588,0.4872819781303406,1.5141140222549438,0.4872819781303406
48,0.5095996856689453,1.4809792041778564,0.001,0.5095996856689453,0.5152616500854492,1.4721119403839111,0.5152616500854492
49,0.5161202549934387,1.4714442491531372,0.001,0.5161202549934387,0.5363371968269348,1.4489697217941284,0.5363371968269348
50,0.5118637681007385,1.483324408531189,0.001,0.5118637681007385,0.522892415523529,1.462813377380371,0.522892415523529
51,0.5183843374252319,1.4668083190917969,0.001,0.5183843374252319,0.5523256063461304,1.455865740776062,0.5523256063461304
52,0.522731363773346,1.4695590734481812,0.001,0.522731363773346,0.5163517594337463,1.4671063423156738,0.5163517594337463
53,0.519652247428894,1.4604742527008057,0.001,0.519652247428894,0.5414243936538696,1.4466122388839722,0.5414243936538696
54,0.5234559178352356,1.461119532585144,0.001,0.5234559178352356,0.5857558250427246,1.4344782829284668,0.5857558250427246
55,0.5108675956726074,1.4728189706802368,0.001,0.5108675956726074,0.569767415523529,1.3972777128219604,0.569767415523529
56,0.5261728167533875,1.454379916191101,0.001,0.5261728167533875,0.5879360437393188,1.3747150897979736,0.5879360437393188
57,0.5469117760658264,1.4402549266815186,0.001,0.5469117760658264,0.4622093141078949,1.5086565017700195,0.4622093141078949
58,0.5466400980949402,1.4366856813430786,0.001,0.5466400980949402,0.5744912624359131,1.457961082458496,0.5744912624359131
59,0.5569643378257751,1.4198980331420898,0.001,0.5569643378257751,0.5432412624359131,1.4308934211730957,0.5432412624359131
60,0.5765259861946106,1.3967088460922241,1e-04,0.5765259861946106,0.614098846912384,1.3209607601165771,0.614098846912384
