epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,1.0517874499219295,0.4806376080691643,0.9371406223582125,0.5270833335388666
1,0.8706151831046992,0.6222982708933718,0.7475759424697394,0.6670258620689655
2,0.7744956198618117,0.6960554755043228,0.683688442597444,0.7019396554464581
3,0.7228120496705904,0.7286563400576369,0.7066125571727753,0.6784243302783747
4,0.6925298260680537,0.7481988472622478,0.622704139557378,0.7207136017152633
5,0.6711561977004455,0.7628782420749279,0.675215519365223,0.7023467435233894
6,0.6579787566270197,0.7680115273775217,0.6215158617016913,0.7328304600441593
7,0.6333405493144,0.7901657060518732,0.6473830085376213,0.7249281611935846
8,0.6239877843891166,0.7959293948126801,0.675093719328957,0.7142001917992515
9,0.613320634842606,0.8050252161383286,0.6142845650513967,0.7354406132095161
10,0.6009647095581296,0.8125,0.6027054349923956,0.7472940614853782
11,0.5893061278704608,0.8167327089337176,0.6167550042442892,0.736829502144079
12,0.5773172401729166,0.8290706051873199,0.6791683144267948,0.7249760538682171
13,0.5706941458780415,0.832492795389049,0.6288108818832485,0.7367816094694466
14,0.5688867202237978,0.8352845821325648,0.6146430577012314,0.7472461688107458
15,0.5583709539357111,0.8399675792507204,0.6563192917697731,0.727490421684309
16,0.5510819277777108,0.8423991354466859,0.6072184696964834,0.7544779695313553
17,0.5407679525850829,0.8526657060518732,0.5748643524002754,0.7655172416533547
18,0.5345702885894336,0.8563580691642652,0.6462543086073864,0.7404214561670676
19,0.52590545848742,0.8609510086455331,0.6051926683077867,0.7515086209636995
20,0.5235300969321721,0.8621217579250721,0.6617397669403032,0.7357519159371826
21,0.514437105968294,0.8703170028818443,0.636746802891808,0.7534003833244587
22,0.5066935827993179,0.8746397694524496,0.6998729322148466,0.7241139850397219
23,0.4999914815171651,0.8810338616714697,0.5968194571377217,0.7714080467991445
24,0.5002733966287344,0.8743695965417867,0.5934907730625963,0.7632662838902967
25,0.48848005313351106,0.8831952449567724,0.6696839697402099,0.747389847519754
26,0.4921403346899951,0.8830151296829971,0.6284131050623697,0.7639846746948944
27,0.4844122663870325,0.8867074927953891,0.627405561592387,0.7613026821750334
28,0.48213521556483224,0.8877881844380403,0.5895568707893635,0.7653735636294573
29,0.4773008030670177,0.888778818443804,0.6162313930262094,0.7666427205348837
30,0.47165158863369944,0.8930115273775217,0.6847516604881178,0.7476053642130446
31,0.4659683838357843,0.8976945244956772,0.6523837479709209,0.7543342915074579
32,0.46432419065439734,0.8994056195965417,0.6564281139223055,0.7570402307071905
33,0.45864344879941915,0.9051693083573487,0.6327327616598414,0.7670019159371826
34,0.45245052028114585,0.9074207492795389,0.6177060191316166,0.7730603451016306
35,0.4495214545074045,0.91039265129683,0.630656073833334,0.7612547895004009
36,0.4426721872960456,0.9139949567723343,0.6553174327502306,0.7608477014234696
37,0.44233136458767935,0.9134546109510087,0.6412671019976166,0.7710009580371023
38,0.43929708287420466,0.9168768011527377,0.6147728868942152,0.7778735640405239
39,0.4370585733257041,0.9182276657060519,0.7167130576810617,0.7419061304508955
40,0.4336289144215048,0.9221902017291066,0.6269421786412426,0.7775622613128574
41,0.4266223004812466,0.9221902017291066,0.6536182702957899,0.7699233718302058
42,0.42398579860970337,0.9239012968299711,0.6392629189395357,0.7652538316003208
43,0.42237639736373417,0.9246217579250721,0.6953525089326946,0.750431034756803
44,0.42724833270314794,0.9228206051873199,0.6779022792718191,0.763577586617963
45,0.4136311770859644,0.930385446685879,0.7704647378674869,0.7268199235543438
46,0.4181187031763775,0.9267831412103746,0.63753583753246,0.7778735640405239
47,0.41444426173779053,0.9321865994236311,0.6268955750026922,0.7709530653624699
48,0.40639371323997764,0.9363292507204611,0.6992207501811543,0.7581657095887195
49,0.41461717807593884,0.9320064841498559,0.6775048878686182,0.763146552546271
50,0.40807391037514984,0.9343479827089337,0.6919731377870187,0.7563218399025928
51,0.4090105649889031,0.9323667146974063,0.5678069588096663,0.7987547900484896
52,0.3995662256001739,0.9378602305475504,0.6235520766898134,0.7796216476922748
53,0.39387770731442256,0.9429935158501441,0.7084847291310629,0.7498563226612135
54,0.3996528893795068,0.9409221902017291,0.6394854232497599,0.7741858239831596
55,0.4012190072612048,0.9380403458213257,0.598990510849432,0.7961446361980219
56,0.3942548455697315,0.9436239193083573,0.5834284956599104,0.7929118775773323
57,0.3947096763323638,0.9413724783861671,0.6382548954637571,0.7890086215117882
58,0.4050041281696012,0.9352485590778098,0.6442587007393782,0.7767959778336273
59,0.3947206425563746,0.9426332853025937,0.6073649051203125,0.7886973187841219
60,0.39007133752193507,0.9448847262247838,0.6295996010303497,0.7822318015427425
61,0.3829310589633689,0.9497478386167147,0.6435238917668661,0.7811063226612135
62,0.3870903248402158,0.9462355907780979,0.7317132670646427,0.7430795026921678
63,0.38191270879778466,0.9491174351585014,0.6992104455999945,0.7685344835807537
64,0.37938864799672656,0.9494776657060519,0.6629153601397043,0.777514368638225
65,0.38028624284507906,0.9506484149855908,0.7264934487041386,0.7570402307071905
66,0.38170269148837593,0.9505583573487032,0.6556485449445659,0.7868534490979952
67,0.3823771661399764,0.9472262247838616,0.606373164331776,0.7886015327497461
68,0.37683504167139015,0.9522694524495677,0.7115233401800024,0.7606800774048115
69,0.3729960122266489,0.9555115273775217,0.7301028587523548,0.7548850582933974
70,0.37396033215591473,0.9538904899135446,0.618469458116197,0.7924568968257685
71,0.36846078644568364,0.9580331412103746,0.6591138962185246,0.784698276684202
72,0.3724647452920589,0.9550612391930836,0.6518751744223737,0.776748084473884
73,0.37126329489674964,0.9553314121037464,0.6825910986497484,0.7706896559945469
74,0.3736508158854174,0.9522694524495677,0.7549997989473671,0.7427203072898689
75,0.36479400884177565,0.9586635446685879,0.7075059266611078,0.7627873571439722
76,0.3652009900433873,0.9603746397694525,0.7785590536806776,0.7445162843013632
77,0.36506337854979015,0.9585734870317003,0.686034377107675,0.7667385065692595
78,0.36654256778079425,0.9582132564841499,0.6459723178340101,0.783931992519861
79,0.36390277331088394,0.958393371757925,0.6047503831742824,0.7947557479485698
80,0.36227114485732415,0.9610050432276657,0.6560309686880003,0.7796695410520181
81,0.36097563077462164,0.9621757925072046,0.6090128635880591,0.8009578551369152
82,0.35816660789660143,0.9621757925072046,0.6880622348566164,0.7739703072898689
83,0.3604788511390301,0.9624459654178674,0.6298052901509165,0.7885536400751135
84,0.3591979425132103,0.961635446685879,0.7026931141642319,0.7648946361980219
85,0.3663326868578062,0.9596541786743515,0.607660830962932,0.7976293111669606
86,0.35560657895607634,0.964157060518732,0.6884024790648756,0.7674090040141138
87,0.3541450704896141,0.9645172910662824,0.7083405319644117,0.7585727976656508
88,0.3598151056670318,0.9608249279538905,0.6520871110688681,0.7843869739565356
89,0.35583723441668136,0.9655079250720461,0.6137665904116356,0.7991139854507885
90,0.3549212547131849,0.9649675792507204,0.6425664681812813,0.7850095787267576
91,0.3631895295309402,0.9618155619596542,0.6605020575653547,0.775000000822133
92,0.35205741411327285,0.9660482708933718,0.7534312333526283,0.7502155180635124
93,0.3509869774755209,0.9689301152737753,0.7686761496053345,0.7451867824313284
94,0.3554275176710629,0.9640670028818443,0.6658790193755051,0.7839798858796043
95,0.3466058561540818,0.9695605187319885,0.60758878607517,0.8012212651899491
96,0.3445766254701257,0.971271613832853,0.6145894546275852,0.8000478929486768
97,0.3484861710744907,0.9696505763688761,0.6157241329208187,0.8061542147877573
98,0.3488987690261874,0.9685698847262247,0.6700046841783085,0.7810105366268377
99,0.3477962625988622,0.9691102305475504,0.6344371554495274,0.7925526821750334
100,0.34656608963562363,0.9674891930835735,0.6759945407681082,0.7820881228337343
101,0.3471773712538848,0.9685698847262247,0.6377543546687597,0.7907567051635391
102,0.3450608090296259,0.9691102305475504,0.7603723083076805,0.7548850582933974
103,0.345123469657788,0.9721721902017291,0.6499642835951399,0.7867576630636194
104,0.34865715927967766,0.9674891930835735,0.7070795026575697,0.7725335256806736
105,0.33987137374685544,0.973342939481268,0.6239831255770277,0.7935823757072975
106,0.347560945951973,0.9697406340057637,0.6284320046161783,0.7965517249600641
107,0.3494689533277616,0.9682096541786743,0.6118878813824434,0.7993773948187115
108,0.3414198922836128,0.9709113832853026,0.6342069992217524,0.7929118775773323
109,0.3364570937857504,0.9759546109510087,0.6260430848804014,0.7961925295577652
110,0.3365679556766917,0.9756844380403458,0.6278119870814783,0.7916906133465383
111,0.3428858374312563,0.9720821325648416,0.6288735092371359,0.7975335251325848
112,0.33585691632386244,0.9764048991354467,0.7004627047599047,0.7693007670599838
113,0.3425229130801275,0.9719920749279539,0.6497716540577768,0.784698276684202
114,0.3375513536442254,0.9748739193083573,0.5873703322876459,0.808764368638225
115,0.3370593778509915,0.9742435158501441,0.5749671080674248,0.8137452109106655
116,0.3373526003243944,0.9738832853025937,0.6430998543898264,0.7882423373474472
117,0.33389639158757345,0.9769452449567724,0.5911722631975153,0.8065613028646885
118,0.33735476636062095,0.9763148414985591,0.6036980862076256,0.8014846745578722
119,0.33547372115448504,0.9756844380403458,0.6140733297015059,0.7997365902210104
120,0.3317718661312411,0.977935878962536,0.6762635481768641,0.783931992519861
121,0.3325410771266871,0.9782961095100865,0.6086835489533413,0.8076388890715851
122,0.3343532728702259,0.9770353025936599,0.6210032381202982,0.8036877396462978
123,0.3349547256482094,0.9771253602305475,0.6556688711561006,0.7861350582933974
124,0.3343511000490326,0.9766750720461095,0.6398129275646703,0.7912116866002138
125,0.33410059194743463,0.9769452449567724,0.7170874841254333,0.768438697546378
126,0.32826311821896337,0.9796469740634006,0.6169861551673933,0.8062021074623897
127,0.33193184250713426,0.9785662824207493,0.626598137034767,0.7979885065692595
128,0.3332866796155484,0.9762247838616714,0.6534482817882779,0.7940373571439722
129,0.34061088316378746,0.9715417867435159,0.5990037777643095,0.8087164752784817
130,0.3314408389395183,0.9781159942363112,0.6595855197687258,0.7864463603359529
131,0.3312611348862607,0.9784762247838616,0.5553301312457556,0.8280651343279871
132,0.32806859021571594,0.9803674351585014,0.58634197455028,0.8108237550176424
133,0.32953539275985627,0.9800972622478387,0.688272353047612,0.7785440614853782
134,0.32977949121499955,0.977935878962536,0.6056080577017247,0.8105603456497192
135,0.3296925705516716,0.9789265129682997,0.6364993936028974,0.7972222224049185
136,0.32654700224269023,0.9805475504322767,0.6753398476318381,0.7817768201060679
137,0.32639775255571524,0.9810878962536023,0.7165098185169285,0.7727490423739641
138,0.32351086162009224,0.9828890489913544,0.6366891686258644,0.8032806515693665
139,0.32966073308279603,0.9794668587896254,0.5853070510529924,0.8147749044429297
140,0.32546294164932427,0.9814481268011528,0.6029014935096105,0.8090756706807806
141,0.3282572642526984,0.979556916426513,0.6110047860734764,0.804358237776263
142,0.32685212202649294,0.9793768011527377,0.6214783521390509,0.8000478929486768
143,0.3241628403278867,0.9815381844380403,0.6376997170777157,0.8026101534394012
144,0.32536578332999944,0.9808177233429395,0.6377634269924,0.7954262453934242
145,0.3253066361122241,0.9808177233429395,0.6724709868431091,0.7836206904773054
146,0.3278329022851389,0.9787463976945245,0.5919982386731554,0.8169300768567228
147,0.32349518997868476,0.9827989913544669,0.675630873304674,0.783931992519861
148,0.3263696294696599,0.9812680115273775,0.5858696978325131,0.8168821841820904
149,0.3227679389354475,0.983699567723343,0.6312208643247341,0.8000957856233093
150,0.32146254027267696,0.9846902017291066,0.6289090868727915,0.7972701157646618
151,0.32946190384004576,0.979556916426513,0.6129930777282551,0.8036877396462978
