epoch,timestamp,train_loss_epoch,train_accuracy_epoch
0,2026-01-13T18:32:53.072431,1.0805918657779694,0.454375
1,2026-01-13T19:17:26.859937,1.0486155319213868,0.4609375
2,2026-01-13T20:01:42.559071,1.029757044315338,0.4625
3,2026-01-13T20:45:07.539763,1.0201437228918075,0.45375
4,2026-01-13T21:29:26.748366,1.010867230296135,0.456875
500,2026-01-13T21:31:40.520375,0.9696875,0.783125,0.3333333333306731,0.2610416666650352,0.3333333333306731,0.2927912122827964
