epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5725122094154358,1.3028907775878906,0.001,0.47885796427726746,5.150299072265625
1,0.6366263031959534,1.016994595527649,0.001,0.4607878625392914,12.790823936462402
2,0.6612786650657654,0.9156361818313599,0.001,0.5634260773658752,1.2905343770980835
3,0.6858407258987427,0.8312153816223145,0.001,0.5439103841781616,1.0482468605041504
4,0.697128415107727,0.8124005198478699,0.001,0.5023491382598877,1.8353430032730103
5,0.71518874168396,0.7710821032524109,0.001,0.5160824060440063,1.1245930194854736
6,0.7221419811248779,0.7504812479019165,0.001,0.6866642832756042,0.8902111053466797
7,0.7501354813575745,0.707773745059967,0.001,0.554029643535614,1.1112093925476074
8,0.7470651865005493,0.6983956098556519,0.001,0.5399349331855774,1.1581209897994995
9,0.754740834236145,0.6821563839912415,0.001,0.6035417318344116,1.508132815361023
10,0.7586237788200378,0.6636079549789429,0.001,0.7079870104789734,0.8444176316261292
11,0.7656673192977905,0.6597048044204712,0.001,0.6086013913154602,1.4558008909225464
12,0.7755101919174194,0.6320597529411316,0.001,0.4831947982311249,1.4131978750228882
13,0.7741556763648987,0.6340134739875793,0.001,0.4434405565261841,1.091921329498291
14,0.782282829284668,0.6167818307876587,0.001,0.6172749996185303,1.957907795906067
15,0.7796640992164612,0.6129436492919922,0.001,0.5854716300964355,1.0730196237564087
16,0.779393196105957,0.6098847389221191,0.001,0.49114564061164856,1.0948643684387207
17,0.791764497756958,0.5927718281745911,0.001,0.7434043884277344,0.793111264705658
18,0.7950153350830078,0.5885560512542725,0.001,0.7643657326698303,0.7364555597305298
19,0.7958280444145203,0.5831336975097656,0.001,0.42175641655921936,4.576511859893799
20,0.8030521869659424,0.5619632005691528,0.001,0.6732923984527588,0.7440846562385559
21,0.8003431558609009,0.5611934065818787,0.001,0.7260571122169495,0.6968677639961243
22,0.8017879724502563,0.5593018531799316,0.001,0.6610047221183777,1.0833276510238647
23,0.8143398761749268,0.5473211407661438,0.001,0.7809902429580688,0.6970129013061523
24,0.8154234886169434,0.5452318787574768,0.001,0.7119624018669128,1.05803644657135
25,0.8116308450698853,0.5506693124771118,0.001,0.6866642832756042,0.8093549609184265
