epoch,accuracy,loss,lr,top1,val_accuracy,val_loss,val_top1
0,0.44698336720466614,1.4406774044036865,0.01,0.44698336720466614,0.45530521869659424,1.439470887184143,0.45530521869659424
1,0.45797863602638245,1.430280089378357,0.01,0.45797863602638245,0.45530521869659424,1.429709792137146,0.45530521869659424
2,0.4572541117668152,1.4237719774246216,0.01,0.4572541117668152,0.45530521869659424,1.4188088178634644,0.45530521869659424
3,0.4692990481853485,1.4150463342666626,0.01,0.4692990481853485,0.45530521869659424,1.4050123691558838,0.45530521869659424
4,0.4896757900714874,1.3948521614074707,0.01,0.4896757900714874,0.526526153087616,1.3819633722305298,0.526526153087616
5,0.5163013935089111,1.3754545450210571,0.01,0.5163013935089111,0.5635901093482971,1.3317019939422607,0.5635901093482971
6,0.5137656331062317,1.361854910850525,0.01,0.5137656331062317,0.5581395626068115,1.323804259300232,0.5581395626068115
7,0.5162108540534973,1.352933645248413,0.01,0.5162108540534973,0.5723110437393188,1.316999077796936,0.5723110437393188
8,0.5205578804016113,1.3349158763885498,0.01,0.5205578804016113,0.5810319781303406,1.2726749181747437,0.5810319781303406
9,0.5622169971466064,1.2856876850128174,0.01,0.5622169971466064,0.5955668687820435,1.2362712621688843,0.5955668687820435
10,0.5809636116027832,1.2451153993606567,0.01,0.5809636116027832,0.633357584476471,1.1459497213363647,0.633357584476471
11,0.5853106379508972,1.2223631143569946,0.01,0.5853106379508972,0.616642415523529,1.2190635204315186,0.616642415523529
12,0.6025176644325256,1.188257098197937,0.01,0.6025176644325256,0.6471657156944275,1.152403473854065,0.6471657156944275
13,0.6113023161888123,1.1700210571289062,0.01,0.6113023161888123,0.6526162624359131,1.1077890396118164,0.6526162624359131
14,0.6305017471313477,1.1296303272247314,0.01,0.6305017471313477,0.6769621968269348,1.048303246498108,0.6769621968269348
15,0.6222604513168335,1.1387022733688354,0.01,0.6222604513168335,0.6900436282157898,1.0106459856033325,0.6900436282157898
16,0.6497917175292969,1.0882432460784912,0.01,0.6497917175292969,0.617732584476471,1.1310551166534424,0.617732584476471
17,0.6408259272575378,1.081626057624817,0.01,0.6408259272575378,0.6816860437393188,1.0306450128555298,0.6816860437393188
18,0.6610215306282043,1.0598324537277222,0.01,0.6610215306282043,0.7049418687820435,0.9811591506004333,0.7049418687820435
19,0.6776852011680603,1.0232583284378052,0.01,0.6776852011680603,0.7020348906517029,0.9603836536407471,0.7020348906517029
20,0.6823039054870605,1.016380786895752,0.01,0.6823039054870605,0.71875,0.9652019143104553,0.71875
21,0.6889150738716125,0.9952789545059204,0.01,0.6889150738716125,0.7107558250427246,0.9467172622680664,0.7107558250427246
22,0.6826661825180054,1.0117356777191162,0.01,0.6826661825180054,0.7303779125213623,0.9226735234260559,0.7303779125213623
23,0.70014488697052,0.9722704887390137,0.01,0.70014488697052,0.7601743936538696,0.8669693470001221,0.7601743936538696
24,0.7029523849487305,0.9637802243232727,0.01,0.7029523849487305,0.7616279125213623,0.8787921667098999,0.7616279125213623
25,0.7068465948104858,0.9409454464912415,0.01,0.7068465948104858,0.7627180218696594,0.8787175416946411,0.7627180218696594
26,0.717442512512207,0.9325753450393677,0.01,0.717442512512207,0.765625,0.8284879922866821,0.765625
27,0.7192537784576416,0.9207972884178162,0.01,0.7192537784576416,0.7529069781303406,0.8780864477157593,0.7529069781303406
28,0.7331099510192871,0.8936558365821838,0.01,0.7331099510192871,0.7670784592628479,0.8459884524345398,0.7670784592628479
